日期 时间 WH主压力（psi） T主压力（psi） WL主压力（psi） WH备压力（psi） T备压力（psi） WL备压力（psi） 高层进气压力（psi） 高层干燥气压力（psi） 高层卸压流量（L/min） 高层干燥气流量（L/min） 高层旁路流量（L/min） 低层进气压力（psi） 低层干燥气压力（psi） 低层卸压流量（L/min） 低层干燥气流量（L/min） 低层旁路流量（L/min）
2025-01-16 22:00:00 1539.61 1428.93 1674.65 0.00 0.00 0.00 16.58 5.10 0.00 4.56 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:01 1532.97 1426.71 1674.65 0.00 0.00 0.00 16.45 5.95 0.00 4.78 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:02 1537.40 1433.35 1672.43 0.00 0.00 0.00 16.58 6.14 0.00 4.62 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:03 1539.61 1426.71 1674.65 0.00 0.00 0.00 16.45 6.14 0.00 4.78 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:04 1539.61 1424.50 1672.43 0.00 0.00 0.00 16.45 6.07 0.00 4.76 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:05 1541.82 1433.35 1668.00 0.00 0.00 0.00 16.39 6.14 0.00 4.78 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:06 1539.61 1422.29 1674.65 0.00 0.00 0.00 16.45 6.14 0.00 4.78 1.00 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:07 1537.40 1426.71 1670.22 0.00 0.00 0.00 16.45 5.89 0.00 4.76 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:08 1537.40 1424.50 1672.43 0.00 0.00 0.00 15.84 6.07 0.00 4.75 0.98 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:09 1544.04 1428.93 1670.22 0.00 0.00 0.00 16.27 6.14 0.00 4.78 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:10 1537.40 1426.71 1672.43 0.00 0.00 0.00 16.45 5.95 0.00 4.79 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:11 1541.82 1428.93 1668.00 0.00 0.00 0.00 14.38 6.01 0.00 4.87 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:12 1539.61 1426.71 1676.86 0.00 0.00 0.00 16.45 5.89 0.00 4.89 0.97 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:13 1544.04 1433.35 1679.07 0.00 0.00 0.00 16.39 4.73 0.00 4.75 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:14 1537.40 1422.29 1665.79 0.00 0.00 0.00 16.58 5.71 0.00 4.89 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:15 1537.40 1426.71 1672.43 0.00 0.00 0.00 15.78 6.14 0.00 4.83 0.97 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:16 1539.61 1424.50 1683.50 0.00 0.00 0.00 16.33 3.94 0.00 4.88 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:17 1537.40 1424.50 1672.43 0.00 0.00 0.00 16.45 6.26 0.00 4.89 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:18 1537.40 1426.71 1665.79 0.00 0.00 0.00 16.45 6.26 0.00 4.87 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:19 1535.18 1422.29 1681.29 0.00 0.00 0.00 15.90 5.22 0.00 4.89 0.99 0.00 0.00 0.00 0.00 0.00
2025-01-16 22:00:20 1541.82 1422.29 1670.22 0.00 0.00 0.00 16.45 6.32 0.00 4.89 1.00 0.00 0.00 0.00 0.00 0.00
